,App,Category,Size_M,Price,Rating
1814,Photon Safe Web Browser with Flash Player for Kids,Education,33.2861328125,4.99,2.5
1815,Pirate Power,Games,106.9384765625,0.0,4.5
1816,Hunting Simulator,Sports,64.5439453125,2.99,3.5
1817,Iron Force,Games,118.8916015625,0.0,5.0
1818,Facetune,Photo & Video,58.32421875,3.99,4.5
1819,Solitaire Classic Card Game™,Games,134.841796875,0.0,4.5
1820,RPG AVABEL ONLINE,Games,129.234375,0.0,4.5
1821,Fireman Sam - Fire & Rescue,Games,205.8349609375,1.99,3.5
1822,Glow Puzzle,Games,23.3671875,1.99,4.5
1823,"MOLDIV - Photo Editor, Collage & Beauty Camera",Photo & Video,114.4951171875,0.0,4.5
1824,Farm Heroes Saga,Games,250.2646484375,0.0,4.5
1825,腾讯微云HD-安全备份共享文件和照片,Productivity,58.296875,0.0,4.0
1826,IMPOSSIBLE ROAD,Games,122.3203125,2.99,4.0
1827,X-War: Clash of Zombies,Games,40.9296875,0.0,5.0
1828,Cut the Rope: Time Travel,Games,64.0654296875,0.99,5.0
1829,Cut the Rope: Time Travel HD,Games,112.7939453125,0.99,4.5
1830,Dr. Panda Supermarket,Education,132.1689453125,2.99,4.0
1831,실시간 날씨,Weather,5.046875,0.0,3.5
1832,FINAL FANTASY V,Games,159.29296875,14.99,4.5
1833,Alarmy Pro (Sleep If U Can) - Alarm Clock,Lifestyle,162.9658203125,1.99,4.5
1834,Theory Test for Car Drivers - Driving Test Success,Education,62.091796875,2.99,1.0
1835,Hazard Perception Mega Pack - Driving Test Success,Education,861.111328125,2.99,0.0
1836,Multiplayer for Minecraft PE,Games,31.8701171875,2.99,4.0
1837,Infinity Blade III,Games,2873.6640625,0.99,4.0
1838,易经全集-[有声读物],Book,201.7890625,0.99,0.0
1839,Asphalt 8: Airborne,Games,1695.576171875,0.0,4.5
1840,Frozen: Storybook Deluxe - Now with Frozen Fever!,Entertainment,1166.6796875,4.99,3.5
1841,Duck Life,Games,224.90625,0.99,4.0
1842,Star Wars®: Knights of the Old Republic™,Games,2355.234375,9.99,4.0
1843,PlayKids - Educational Cartoons and Games for Kids,Education,359.2265625,0.0,4.0
1844,WRAL Weather Alert,Weather,65.6611328125,0.0,3.0
1845,Face Swap and Copy Free – Switch & Fusion Faces in a Photo,Catalogs,10.8828125,0.0,4.0
1846,InstaMag - Free Pic and Photo Collage Maker,Photo & Video,90.9599609375,0.0,4.5
1847,Ghost Observer - ghost detector & spirit radar,Entertainment,49.1865234375,0.0,3.5
1848,Videoshop - Video Editor,Photo & Video,134.375,1.99,4.5
1849,Redline Rush,Games,51.13671875,0.99,4.5
1850,海鮮!!すし街道,Games,103.1953125,4.99,0.0
1851,"Village Life: Love, Marriage and Babies",Games,479.5341796875,0.0,4.5
1852,Eyes - the horror game,Games,98.3125,0.99,4.5
1853,Slow Shutter!,Photo & Video,1.9453125,1.99,4.0
1854,Hopscotch,Education,112.2265625,0.0,4.5
1855,楽天市場 for iPad,Lifestyle,12.8251953125,0.0,4.0
1856,Cute CUT Pro - Full Featured Video Editor,Photo & Video,49.59375,5.99,4.0
1857,Farm Story 2™,Games,107.390625,0.0,4.0
1858,Teenage Mutant Ninja Turtles: Rooftop Run,Games,142.65234375,3.99,4.0
1859,Covet Fashion - The Game for Dresses & Shopping,Games,107.44921875,0.0,4.0
1860,驾校一点通-保过版，2017最新驾考学车宝典,Education,97.73046875,0.0,4.5
1861,"ameli, l'Assurance Maladie",Health & Fitness,42.5,0.0,4.0
1862,【マイナビバイト大学生版】大学生のバイト探し・アルバイト求人,Lifestyle,38.171875,0.0,0.0
1863,Design This Castle,Games,232.1640625,0.0,4.0
1864,Oldify - Old Face Photo Booth App,Entertainment,93.0302734375,0.99,4.5
1865,Prime Photos from Amazon,Photo & Video,72.724609375,0.0,4.0
1866,BeautyPlus - Selfie Camera for a Beautiful Image,Photo & Video,122.2890625,0.0,5.0
1867,英熟語ターゲット1000（4訂版）,Education,66.7958984375,4.99,0.0
1868,Survivalcraft,Games,52.7802734375,3.99,4.0
1869,Talking Ginger 2,Entertainment,77.6025390625,0.0,4.5
1870,Dr. Panda Beauty Salon,Education,147.203125,2.99,4.5
1871,Heads Up!,Games,86.2763671875,0.99,4.5
1872,World of Cubes Survival Craft,Games,178.384765625,0.0,4.0
1873,PDF Export - Photos to PDF and Converter,Business,55.9423828125,2.99,3.5
1874,Bloons TD Battles,Games,102.27734375,0.0,4.5
1875,Where's My Mickey?,Games,124.830078125,1.99,4.0
1876,Hearthstone,Games,2294.5009765625,0.0,4.0
1877,Geometry Dash,Games,80.04296875,1.99,5.0
1878,Sproggiwood,Games,418.283203125,4.99,4.5
1879,HairTech-Head Sheets,Productivity,5.6337890625,2.99,3.0
1880,Stupid Test!,Games,30.3251953125,0.0,4.5
1881,Eurovision Song Contest - The Official App,Entertainment,67.736328125,0.0,3.0
1882,The Fast Metabolism Diet– customized meal planning,Health & Fitness,34.708984375,2.99,3.5
1883,MLB.com Home Run Derby 17,Games,221.8154296875,0.0,4.5
1884,Faded - Photo Editor,Photo & Video,113.123046875,1.99,4.5
1885,Sorcery!,Games,162.2890625,4.99,4.0
1886,Sorcery! 2,Games,258.345703125,4.99,5.0
1887,OPM Alert,News,28.8505859375,0.0,2.0
1888,Doodle Jump Easter Special,Games,16.623046875,0.0,4.5
1889,Icon Pop Song,Games,49.9609375,0.0,4.5
1890,Yahoo Weather,Weather,117.34765625,0.0,4.5
1891,Draw Rider Plus,Games,35.384765625,1.99,4.5
1892,Stick Texting – The College Series,Utilities,48.171875,1.99,3.5
1893,"Writing Wizard - Kids Learn to Write Letters, Alphabet & Words",Education,40.625,3.99,4.5
1894,Official Life in the UK Test – 3rd Edition,Education,5.3671875,4.99,2.0
1895,Star Command,Games,146.0078125,2.99,4.0
1896,BAA Marathon,Sports,95.2255859375,0.0,2.5
1897,Dots: A Game About Connecting,Games,107.34765625,0.0,4.0
1898,Costume Quest,Games,684.24609375,2.99,4.0
1899,Close Up Pics Quiz - Guess the Word Trivia Games,Games,91.2294921875,0.0,4.5
1900,Make-Up Touch 2 - Kids Games & Girls Dressup Game,Games,50.2138671875,0.0,3.5
1901,UE BOOM,Music,26.3984375,0.0,2.5
1902,鬼とび,Games,9.4716796875,0.0,5.0
1903,Rivals for Catan,Games,274.8125,0.99,3.5
1904,Tetris® Blitz,Games,125.38671875,0.0,4.5
1905,Deus Ex: The Fall,Games,1577.9326171875,4.99,4.0
1906,Baldur's Gate II:EE,Games,2167.21875,9.99,4.0
1907,Transport Tycoon,Games,366.783203125,6.99,4.5
1908,e-Sword LT: Bible Study on the Go,Book,18.0859375,1.99,5.0
1909,Duet Game,Games,83.91796875,2.99,5.0
1910,Crane Game Toreba!,Games,34.6201171875,0.0,2.5
1911,Glitché,Photo & Video,29.294921875,0.99,4.0
1912,McPlay™,Games,389.8193359375,0.0,2.5
1913,The Inner World,Games,2111.3828125,2.99,4.5
1914,美柚 - 女生助手,Health & Fitness,122.4677734375,0.0,5.0
1915,"Casino X - Free Slot Machines, Poker, Blackjack",Games,71.333984375,0.0,4.0
1916,沪江开心词场-英语、日语、韩语学习助手,Education,123.173828125,0.0,4.5
1917,Santa Call & Tracker - North Pole Command Center,Entertainment,196.7646484375,3.99,4.5
1918,Sniper Shooter: Gun Shooting Games,Games,108.2509765625,0.0,5.0
1919,Castle Raid 2,Games,330.85546875,2.99,4.5
1920,Memrise: learn languages,Education,80.060546875,0.0,5.0
1921,RUNNING for weight loss: workout & meal plans,Health & Fitness,105.5732421875,0.0,4.5
1922,RUNNING for weight loss PRO: workout & meal plans,Health & Fitness,105.4443359375,1.99,4.0
1923,平安证券,Finance,98.109375,0.0,0.0
1924,"Thunderspace 5k ~ Focus, Sleep, Relax, Meditate in a thunderstorm with rain and nature sounds",Health & Fitness,114.0576171875,2.99,4.5
1925,Buddy & Me,Games,124.14453125,1.99,4.5
1926,达令全球好货－正品免税，带你购全球,Shopping,33.1796875,0.0,4.5
1927,Township,Games,167.728515625,0.0,4.5
1928,Le bonheur de lire dès 3 ans: learn to read French,Education,448.716796875,3.99,0.0
1929,Where's My Water? 2,Games,173.21484375,0.0,3.5
1930,Werewolf Special Package,Games,16.70703125,3.99,0.0
1931,Pacific Rim,Games,663.6796875,0.99,4.0
1932,Dumb Ways to Die,Games,803.845703125,0.0,4.5
1933,Pixel Gun 3D,Games,1663.671875,0.0,4.5
1934,WWDC,Book,33.33984375,0.0,3.5
1935,Nextdoor,Social Networking,78.7080078125,0.0,4.5
1936,Terraria,Games,120.1982421875,4.99,4.5
1937,AZZL,Games,124.3798828125,2.99,5.0
1938,Stop Motion Studio Pro,Photo & Video,49.888671875,4.99,4.5
1939,Sago Mini Forest Flyer,Education,160.416015625,2.99,4.5
1940,Doc McStuffins:  Time For Your Check Up!,Entertainment,306.89453125,3.99,3.5
1941,3D stereogram : Human,Entertainment,15.828125,0.99,4.0
1942,Factory Balls,Games,27.234375,0.99,4.5
1943,Tayasui Sketches,Productivity,189.3154296875,0.0,4.5
1944,Spinrilla - Mixtapes For Free,Music,38.21484375,0.0,4.5
1945,YY HD-和美女帅哥主播视频聊天的直播软件,Entertainment,106.916015625,0.0,3.0
1946,Angry Birds Go!,Games,476.4375,0.0,4.0
1947,Jigsaw Puzzle Collection HD,Games,82.2265625,0.0,4.5
1948,Stellarium Mobile Sky Map,Education,51.779296875,2.99,3.5
1949,Hangouts,Social Networking,90.361328125,0.0,4.0
1950,Quizduell,Games,112.8115234375,0.0,2.5
1951,Walk for a Dog,Health & Fitness,60.3408203125,0.0,3.0
1952,Galileo Organ,Music,39.50390625,9.99,5.0
1953,LiveTunes - Live Concert Music Player,Music,122.46484375,0.99,4.5
1954,Pronoun Fill-In Super Fun Deck,Education,127.3515625,5.99,4.0
1955,Cachly - Simple and powerful Geocaching for iPhone,Navigation,23.9111328125,4.99,4.5
1956,"Alizay, pirate girl",Book,177.767578125,2.99,4.5
1957,Formula Cartoon All-Stars – Crazy Cart Racing with Your Favorite Cartoon Network Characters,Games,884.4765625,2.99,4.0
1958,Verizon Cloud,Productivity,99.896484375,0.0,4.5
1959,"Solitaire Deluxe® Social - Classic, Spider, more",Games,106.9462890625,0.0,4.5
1960,Evil Apples: A Filthy Adult Card & Party Game,Games,120.2109375,0.0,4.5
1961,Word Swag - Cool fonts & typography generator,Photo & Video,107.6162109375,4.99,5.0
1962,EasyCost - Expense Tracker and Money organizer,Finance,9.2451171875,0.99,4.5
1963,Hero Emblems,Games,138.1015625,3.99,4.5
1964,Angry Birds Star Wars II,Games,216.326171875,0.0,4.5
1965,Jelly Splash,Games,132.3115234375,0.0,4.0
1966,"AOL: News, Email, Weather & Video",News,81.3232421875,0.0,4.0
1967,Machines at War 3 RTS,Games,182.8251953125,6.99,4.5
1968,Castle of Illusion Starring Mickey Mouse,Games,529.51171875,4.99,3.5
1969,Ruler and Compass Geometry,Education,23.2734375,0.99,3.5
1970,OnCamera,Lifestyle,90.51171875,0.0,2.5
1971,Clone Magic,Photo & Video,17.421875,1.99,4.0
1972,Monogram - Wallpaper & Backgrounds Maker HD DIY with Glitter Themes,Lifestyle,81.462890625,0.0,4.5
1973,Solitaire ∘,Games,98.9345703125,0.0,4.5
1974,D&D Lords of Waterdeep,Games,536.99609375,6.99,4.5
1975,百度贴吧HD,Social Networking,101.08984375,0.0,3.5
1976,Happy Wheels,Games,36.6845703125,0.0,4.5
1977,"Videon - Video Camera and Editor with Zoom, Pause, Effects, Filters",Photo & Video,11.203125,4.99,4.5
1978,Pan Book 1: The Fearless Beribolt,Book,872.8623046875,5.99,4.5
1979,Dr. Panda Handyman,Education,132.529296875,2.99,4.0
1980,Authentic Weather,Weather,22.490234375,1.99,3.0
1981,"NOAA World Radar – Rain, Hurricanes & Weather",Weather,56.4892578125,2.99,4.0
1982,"Stock Market Pro: Stock Trading, Charts & Alerts",Finance,73.8837890625,5.99,3.5
1983,Craft your games! - Createrria 2,Games,428.32421875,0.0,4.0
1984,Sniper Shooter Pro by Fun Games For Free,Games,105.734375,0.99,5.0
1985,Seven - 7 Minute Workout Training Challenge,Health & Fitness,136.1884765625,0.0,4.5
1986,Quiver - 3D Coloring App,Entertainment,175.125,0.0,3.5
1987,OBD Fusion - OBD2 vehicle scan tool & diagnostics,Travel,75.162109375,9.99,4.0
1988,LetterGlow - Graphic Design & Photo Editing,Photo & Video,119.615234375,2.99,4.0
1989,Battle Camp HD - Collect & Evolve Your Monsters,Games,320.1015625,0.0,4.5
1990,Sabres of Infinity,Games,39.9951171875,2.99,4.5
1991,FollowMeter for Instagram - Followers Tracking,Social Networking,11.271484375,0.0,4.5
1992,机票、火车票、汽车票预定助手 for 铁路12306,Travel,20.927734375,0.0,5.0
1993,Trivia Crack,Games,253.185546875,0.0,4.5
1994,Construction Simulator 2014,Games,377.19921875,0.99,4.0
1995,"Princess Salon™ - Girls Makeup, Dressup and Makeover Games",Games,50.79296875,0.0,4.0
1996,Toca Builders,Education,83.650390625,2.99,4.5
1997,Ice Fishing Derby Premium,Games,29.2216796875,2.99,4.0
1998,100 PICS Quiz - guess the picture trivia games,Games,64.646484375,0.0,4.5
1999,WaterMinder®,Health & Fitness,90.22265625,2.99,4.5
2000,2016 U.S. Open Golf Championship for iPad,Sports,140.0673828125,0.0,2.5
2001,Kanvas - Express Yourself,Photo & Video,212.404296875,0.0,4.5
2002,飞凡--智慧新生活,Lifestyle,136.5341796875,0.0,0.0
2003,Yoga.com: 300 Poses & Video Classes,Health & Fitness,48.7646484375,3.99,4.5
2004,"Monster Legends RPG - War, Fight & Heroes Game",Games,162.9296875,0.0,4.5
2005,Charades!™,Games,42.5859375,0.0,4.5
2006,Procraster - Overcome Procrastination,Productivity,18.38671875,1.99,4.0
2007,Freeletics Bodyweight - Workouts and Training,Health & Fitness,99.044921875,0.0,4.5
2008,Weaphones WW2: Firearms Simulator,Games,59.66015625,2.99,5.0
2009,Call of Duty®: Strike Team,Games,1707.9921875,6.99,4.0
2010,Breach & Clear,Games,968.2109375,3.99,4.5
2011,"Screens - Remote Desktop, VNC, Screen Sharing",Productivity,41.619140625,19.99,4.0
2012,Background Player Pro for Cloud Platforms,Productivity,49.486328125,2.99,4.0
2013,Icebreaker: A Viking Voyage,Games,57.578125,0.99,4.5
2014,Modern Combat 5 : The Multiplayer eSports Shooter,Games,1212.46484375,0.0,4.5
2015,Home - A Unique Horror Adventure,Games,46.94140625,2.99,3.5
2016,BlackOut: Bring the color back in the sky,Games,162.16796875,2.99,4.0
2017,LIMBO,Games,128.7939453125,4.99,4.5
2018,Episode - Choose Your Story,Games,173.9130859375,0.0,4.5
2019,Clue Period Tracker: Period & Ovulation Tracker,Health & Fitness,98.2666015625,0.0,4.5
2020,7 Minute Workout Pro,Health & Fitness,73.1171875,0.99,4.5
2021,Forbidden Desert,Games,181.8203125,6.99,5.0
2022,My Talking Tom,Games,243.8994140625,0.0,4.5
2023,Lightbot : Programming Puzzles,Games,52.896484375,2.99,4.5
2024,ようとん場,Games,38.65625,0.0,4.5
2025,Rayman Fiesta Run,Games,139.525390625,2.99,4.5
2026,The Open,Sports,105.453125,0.0,2.5
2027,Can You Escape,Games,61.3154296875,0.0,4.5
2028,Mickey Mouse Clubhouse - Color & Play,Entertainment,298.8544921875,2.99,4.0
2029,ガールズちゃんねる - 女子のニュースとガールズトーク,News,58.8779296875,0.0,0.0
2030,Mancala Pro,Games,53.453125,1.99,4.5
2031,Trials Frontier,Games,241.560546875,0.0,4.5
2032,IntroMate - Intro Maker for iMovie,Photo & Video,180.4873046875,2.99,4.5
2033,Real Steel World Robot Boxing,Games,892.03515625,0.0,4.5
2034,Sago Mini Pet Cafe,Education,76.25,2.99,4.5
2035,Cartwheel by Target,Shopping,47.2744140625,0.0,3.5
2036,"Morning — Weather, To-Do, News, and more",Productivity,14.7177734375,0.99,3.5
2037,動画英文法2700,Education,40.5498046875,9.99,0.0
2038,腾讯新闻HD-最资深的阅读软件,News,31.5771484375,0.0,3.5
2039,SAMURAI SHODOWN II,Games,66.5,2.99,3.5
2040,Santa Call & Tracker Free - North Pole Command,Entertainment,191.0576171875,0.0,4.5
2041,EPOCH.2,Games,765.359375,0.99,4.5
2042,Ab in den Urlaub – Pauschalreisen günstig buchen,Travel,70.580078125,0.0,5.0
2043,Stylish School Timetable,Education,43.5146484375,0.0,4.0
2044,My Talking Pet,Entertainment,48.642578125,1.99,4.5
2045,Riptide GP2,Games,56.783203125,1.99,4.5
2046,Lotto Out! - Mexican Loteria,Games,69.1181640625,0.99,3.5
2047,. Calculator .,Utilities,56.48828125,0.0,4.5
2048,SimpleRockets,Games,24.11328125,2.99,4.5
2049,rymdkapsel,Games,74.65234375,3.99,4.5
2050,Tomb Raider I,Games,325.466796875,0.99,4.0
2051,Teen Titans Go Arcade,Games,24.00390625,0.0,3.5
2052,Canon PRINT Inkjet/SELPHY,Photo & Video,24.453125,0.0,2.5
2053,Math 42,Education,43.7275390625,0.0,4.0
2054,Fishdom,Games,173.4970703125,0.0,4.5
2055,LEGO® The Lord of the Rings™,Games,1428.53515625,4.99,4.5
2056,"Tile - Find & track your lost phone, wallet, keys",Lifestyle,74.8955078125,0.0,4.0
2057,Hunter Island: Monsters & Dragons,Games,87.08203125,0.99,4.5
2058,12 Minute Athlete HIIT Workouts,Health & Fitness,23.521484375,2.99,4.5
2059,Fluege.de - Finde den billigsten Flug,Travel,177.275390625,0.0,0.0
2060,"Retale - Coupons, Weekly Ads & Stores Nearby",Shopping,108.0517578125,0.0,4.5
2061,movieStudio-Video Editor&Slideshow Maker(pro),Utilities,94.7265625,2.99,4.5
2062,Battleheart Legacy,Games,847.8740234375,4.99,4.5
2063,RealTimes: Video Maker,Photo & Video,178.6708984375,0.0,4.5
2064,The Room Two,Games,438.763671875,1.99,5.0
2065,Move to measure - Flying Ruler,Utilities,49.0859375,1.99,4.0
2066,Game of War - Fire Age,Games,210.1767578125,0.0,4.0
2067,Rhonna Designs,Photo & Video,169.3056640625,1.99,4.5
2068,Ninja Kid Run VR: Runner & Racing Games For Free,Games,157.9404296875,0.0,4.5
2069,Air Video HD - Now with multitasking and PiP support!,Photo & Video,13.986328125,5.99,4.5
2070,"健康献立レシピ提案 オーガニック “Ohganic""",Food & Drink,27.83203125,0.0,4.0
2071,洋码头—正品保证海外买手带你全球购洋货,Shopping,122.927734375,0.0,4.5
2072,"Mister Maker: Let’s Make It! – Design, Draw, Paint, Make and Play",Entertainment,172.6494140625,2.99,4.5
2073,My Little Pony - A Canterlot Wedding,Book,284.8046875,2.99,3.5
2074,djay 2,Music,114.392578125,4.99,4.5
2075,djay 2 for iPhone,Music,73.166015625,1.99,4.5
2076,School Lunch Food!,Games,83.251953125,0.0,3.5
2077,WinZip Full Version - The leading zip unzip and cloud file management tool,Utilities,21.9248046875,4.99,3.0
2078,Rebuild 3: Gangs of Deadsville,Games,100.375,4.99,4.5
2079,Clip Video Download Pro.,Photo & Video,29.7109375,6.99,4.0
2080,VVebo - 微博客户端,Social Networking,16.533203125,0.99,4.5
2081,Burger Shop,Games,24.123046875,0.99,5.0
2082,Vainglory,Games,1127.794921875,0.0,4.5
2083,Tayasui Sketches Pro,Productivity,189.3037109375,4.99,4.5
2084,Jishokun-Japanese English Dictionary & Translator,Book,215.0751953125,0.0,0.0
2085,Blackbar,Games,3.5009765625,2.99,4.0
2086,Boom Beach,Games,146.8232421875,0.0,4.5
2087,LOCARI(ロカリ)-オトナ女子向けライフスタイル情報アプリ,Lifestyle,31.693359375,0.0,0.0
2088,Caveman Feast - 250 Paleo Recipes,Food & Drink,93.30859375,2.99,5.0
2089,WGT Golf Game by Topgolf,Games,238.5625,0.0,4.5
2090,心霊たんち機 Plus,Entertainment,1.88671875,0.0,0.0
2091,Step Out Of Bed! Smart alarm clock to get awake early with a tricky and awakening steps counter - Best alarm app to wake up on time with alarmy music ringtone,Lifestyle,33.6328125,1.99,4.0
2092,High 5 Casino - Real Vegas Slots!,Games,160.03125,0.0,4.0
2093,Alice Trapped in Wonderland,Games,346.4150390625,0.99,4.5
2094,Fragment's Note2 Side:雫,Games,854.6328125,2.99,0.0
2095,RoomScan Pro - The app that draws floor plans by itself,Utilities,11.564453125,4.99,4.5
2096,Top Hat Lecture,Education,84.8662109375,0.0,3.0
2097,Automo Camera,Photo & Video,16.12890625,0.99,4.5
2098,ゲッターズ飯田の占い,Entertainment,32.859375,0.0,0.0
2099,東京時層地図 for iPad,Navigation,1903.4169921875,20.99,0.0
2100,MARVEL Spider-Man Unlimited,Games,864.4697265625,0.0,4.5
2101,OfficeSuite Pro (Mobile Office),Business,164.6123046875,14.99,4.0
2102,Skinseed - Skin Creator for Minecraft Skins,Entertainment,44.0576171875,0.0,4.0
2103,Kiosk Photo Transfer by Fujifilm,Photo & Video,32.103515625,0.0,3.0
2104,Skip-Bo™ Pro - The Classic Family Card Game,Games,88.7822265625,1.99,4.5
2105,Dr. Panda's Airport,Education,91.23828125,2.99,4.5
2106,VHS Camcorder,Photo & Video,15.7216796875,2.99,4.0
2107,KICK: Official Football Card Trader,Sports,217.23828125,0.0,3.5
2108,Candy Blast Mania,Games,229.0712890625,0.0,4.5
2109,7 Minute Workout Challenge,Health & Fitness,97.40625,2.99,4.5
2110,Photo Quilt - Auto Collage Maker,Photo & Video,14.505859375,0.0,4.5
2111,本気で英会話！ペラペラ英語　英単語・リスニング・TOEICの学習にも！,Education,107.67578125,0.99,4.0
2112,DEVICE 6,Games,811.8720703125,3.99,4.5
2113,Colossatron: Massive World Threat,Games,75.56640625,0.99,4.5
2114,Rabbids Big Bang,Games,190.5859375,0.99,4.5
2115,Gods Of Rome,Games,913.6357421875,0.0,4.5
2116,Google Home,Entertainment,137.068359375,0.0,3.5
2117,Batman: Arkham Origins,Games,868.58203125,0.0,4.5
2118,Cut the Rope 2,Games,134.568359375,1.99,4.5
2119,Talisman,Games,70.3505859375,1.99,4.0
2120,SUBURBIA City Building Board Game,Games,54.28125,4.99,4.0
2121,The Human Body by Tinybop,Education,638.076171875,3.99,4.0
2122,My PlayHome Stores,Entertainment,185.0,2.99,4.5
2123,筆姫 - オシャレなグリーティングカード SNS投稿 自宅印刷もOK,Lifestyle,96.35546875,0.0,0.0
2124,Voice Recorder (FREE),Utilities,40.4052734375,0.0,4.5
2125,Fairway Solitaire Blast,Games,119.177734375,0.0,4.5
2126,Runtastic Six Pack Abs Workout & Core Trainer,Health & Fitness,126.484375,0.0,4.5
2127,Cops N Robbers (FPS) - Block Survival Multiplayer,Games,446.03125,0.0,4.5
2128,Spider Solitaire ∙,Games,59.4853515625,0.0,4.5
2129,Telegram Messenger,Social Networking,68.5654296875,0.0,4.0
2130,Sonic & All-Stars Racing Transformed,Games,1065.30859375,0.0,4.0
2131,UC浏览器HD,Utilities,57.021484375,0.0,4.0
2132,buddhify - modern mindfulness for busy lives,Health & Fitness,272.1201171875,4.99,4.5
2133,Squaready for Video - Convert Rectangle Movie Clip into Square Shape for Instagram,Photo & Video,37.0966796875,0.0,3.0
2134,Stop - Fun Categories Word Game,Games,99.70703125,0.0,4.5
2135,République,Games,3478.0439453125,1.99,4.5
2136,Doom and Destiny,Games,157.037109375,2.99,4.5
2137,PicLab Studio - Creative Editing & Graphic Design,Photo & Video,51.4423828125,2.99,4.5
2138,Facetune for iPad,Photo & Video,69.2900390625,5.99,4.5
2139,IQ Test - Pro Edition,Games,63.8212890625,2.99,4.5
2140,"Hopster: Kids TV, Nursery Rhymes, Music, Fun Games",Education,253.33984375,0.0,3.5
2141,腾讯欢乐麻将全集,Games,247.3955078125,0.0,3.5
2142,SlideStory - Create a slideshow movie and a snap video,Photo & Video,52.16015625,0.0,4.5
2143,Toca Cars,Education,92.685546875,2.99,4.0
2144,Mimpi,Games,249.8984375,0.0,4.5
2145,Daniel Tiger’s Day & Night,Education,511.208984375,0.0,3.5
2146,Disneynature Explore,Entertainment,419.76171875,0.0,4.0
2147,JD Sports,Shopping,84.490234375,0.0,4.0
2148,ABC Ninja - The Alphabet Slicing Game for Kids,Education,18.07421875,0.99,4.0
2149,Cascade: Fun Spin and Match Puzzle Game,Games,94.2841796875,0.0,4.5
2150,Font Candy+ Typography - Editor Add Text To Photos,Photo & Video,96.94140625,2.99,4.5
2151,Octagon - A Minimal Arcade Game with Maximum Challenge,Games,29.12890625,1.99,4.5
2152,AdBlock,Utilities,18.291015625,1.99,4.0
2153,Nowait Guest,Food & Drink,82.0546875,0.0,3.0
2154,Google Play Music,Music,78.8662109375,0.0,3.5
2155,Frozen Free Fall,Games,259.8486328125,0.0,4.5
2156,Castle Clash: Brave Squads,Games,298.1953125,0.0,4.0
2157,Assassin's Creed Pirates,Games,739.3203125,0.0,4.5
2158,Lost Echo,Games,585.4921875,2.99,4.5
2159,IXL - Math and English,Education,113.19921875,0.0,3.0
2160,"Budget- Expense Tracker,Bill Reminder,Debt Manager",Finance,135.1494140625,0.99,4.5
2161,Capital One for iPad,Finance,88.224609375,0.0,4.5
2162,Piano - Play Keyboard Music Games with Magic Tiles,Music,112.3369140625,0.0,4.5
2163,Quik – GoPro Video Editor to edit clips with music,Photo & Video,201.552734375,0.0,4.5
2164,myCANAL - la TV by CANAL en direct et replay,Entertainment,75.9541015625,0.0,4.5
2165,ProCamera.,Photo & Video,92.0458984375,4.99,4.5
2166,ULTRA4 Offroad Racing,Games,88.015625,1.99,3.5
2167,Ace Fishing: Wild Catch,Games,214.1923828125,0.0,4.5
2168,Icycle: On Thin Ice,Games,78.869140625,2.99,4.5
2169,3D Anatomy,Medical,80.953125,3.99,4.5
2170,War Commander: Rogue Assault,Games,171.4423828125,0.0,4.5
2171,Electric RC Sim,Games,68.6328125,2.99,4.5
2172,Shadow Fight 2,Games,138.009765625,0.0,4.5
2173,Calendars 5 - Daily Planner and Task Manager,Productivity,73.2880859375,6.99,4.5
2174,Flick Kick Football Legends,Games,104.3525390625,0.0,4.5
2175,Chatous - Chat with new people,Social Networking,98.2822265625,0.0,3.0
2176,Fitness and Bodybuilding by VGFIT,Health & Fitness,63.4052734375,0.99,4.5
2177,Geometry Dash Lite,Games,65.876953125,0.0,5.0
2178,QR Code Reader by Scan,Utilities,12.14453125,0.0,4.5
2179,Feed Me Oil 2,Games,68.306640625,0.99,4.0
2180,Race The Sun,Games,144.4638671875,4.99,4.5
2181,Articulation Test Center Pro,Education,166.642578125,59.99,4.5
2182,TunesFlow - Music Player with Equalizer,Music,13.75,3.99,4.5
2183,Deemo,Games,2116.984375,1.99,5.0
2184,Pocket Troops,Games,491.1474609375,0.0,4.5
2185,Pandemic: The Board Game,Games,69.59375,2.99,4.5
2186,Panda Pop,Games,251.546875,0.0,4.5
2187,Mindfulness Daily,Health & Fitness,96.9599609375,1.99,5.0
2188,Magic Tower Touch,Games,14.85546875,0.99,4.5
2189,Slam Dunk Basketball 2 - Play & Do Good,Games,235.58984375,0.0,4.5
2190,100 PICS Coloring - free color in book game app,Games,256.8232421875,0.0,5.0
2191,Ever - Capture Your Memories,Productivity,128.701171875,0.0,4.5
2192,Royal Revolt 2 – Defend Your Castle,Games,139.783203125,0.0,4.5
2193,My Boo - Virtual Pet with Mini Games for Kids,Games,100.2724609375,0.0,4.5
2194,Starfall FREE,Education,89.89453125,0.0,3.5
2195,Jet Car Stunts 2,Games,49.0810546875,0.0,3.5
2196,Oceanhorn ™,Games,408.998046875,7.99,4.5
2197,Bose SoundTouch,Music,51.6826171875,0.0,4.0
2198,Dreii,Games,135.974609375,3.99,4.0
2199,WordBrain,Games,105.4716796875,0.0,4.5
2200,GANMA! - 漫画が制限ナシで読み放題のマンガアプリ,Book,69.802734375,0.0,4.5
2201,QQ International,Social Networking,98.451171875,0.0,2.0
